都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
山形県,女,40歳～44歳,3,32161,0.0093
山形県,女,45歳～49歳,-62,34469,-0.1799
山形県,女,50歳～54歳,-37,32200,-0.1149
山形県,女,55歳～59歳,-35,34704,-0.1009
山形県,女,60歳～64歳,-7,38510,-0.0182
山形県,女,65歳～69歳,0,43427,-0.0
山形県,女,70歳～74歳,-6,42221,-0.0142
山形県,女,75歳～79歳,-9,33452,-0.0269
山形県,女,80歳～84歳,-6,32783,-0.0183
山形県,女,85歳～89歳,-9,28736,-0.0313
山形県,女,90歳以上,-12,23547,-0.051
福島県,総数,0歳～4歳,-51,60599,-0.0842
福島県,総数,5歳～9歳,-39,69700,-0.056
福島県,総数,10歳～14歳,-19,75853,-0.025
福島県,総数,15歳～19歳,-1483,81180,-1.8268
福島県,総数,20歳～24歳,-3414,69999,-4.8772
福島県,総数,25歳～29歳,-1106,77439,-1.4282
福島県,総数,30歳～34歳,-449,87929,-0.5106
福島県,総数,35歳～39歳,-132,100339,-0.1316
福島県,総数,40歳～44歳,-69,113742,-0.0607
福島県,総数,45歳～49歳,-129,124300,-0.1038
福島県,総数,50歳～54歳,-116,113593,-0.1021
福島県,総数,55歳～59歳,-18,120442,-0.0149
福島県,総数,60歳～64歳,55,131278,0.0419
福島県,総数,65歳～69歳,-23,145331,-0.0158
福島県,総数,70歳～74歳,46,136439,0.0337
福島県,総数,75歳～79歳,-41,99105,-0.0414
福島県,総数,80歳～84歳,-62,83426,-0.0743
福島県,総数,85歳～89歳,-67,64493,-0.1039
福島県,総数,90歳以上,-80,44031,-0.1817
福島県,男,0歳～4歳,-3,30690,-0.0098
福島県,男,5歳～9歳,-22,35789,-0.0615
福島県,男,10歳～14歳,-45,38889,-0.1157
福島県,男,15歳～19歳,-708,42169,-1.679
福島県,男,20歳～24歳,-1508,37448,-4.0269
福島県,男,25歳～29歳,-570,41082,-1.3875
福島県,男,30歳～34歳,-251,45940,-0.5464
福島県,男,35歳～39歳,-49,52093,-0.0941
福島県,男,40歳～44歳,-12,59183,-0.0203
福島県,男,45歳～49歳,-106,64456,-0.1645
福島県,男,50歳～54歳,-97,57946,-0.1674
福島県,男,55歳～59歳,-19,61032,-0.0311
福島県,男,60歳～64歳,52,65995,0.0788
福島県,男,65歳～69歳,3,72211,0.0042
福島県,男,70歳～74歳,38,67159,0.0566
福島県,男,75歳～79歳,3,44886,0.0067
福島県,男,80歳～84歳,2,33421,0.006
福島県,男,85歳～89歳,-31,21814,-0.1421
福島県,男,90歳以上,-20,10923,-0.1831
福島県,女,0歳～4歳,-48,29909,-0.1605
福島県,女,5歳～9歳,-17,33911,-0.0501
福島県,女,10歳～14歳,26,36964,0.0703
福島県,女,15歳～19歳,-775,39011,-1.9866
福島県,女,20歳～24歳,-1906,32551,-5.8554
福島県,女,25歳～29歳,-536,36357,-1.4743
福島県,女,30歳～34歳,-198,41989,-0.4716
福島県,女,35歳～39歳,-83,48246,-0.172
福島県,女,40歳～44歳,-57,54559,-0.1045
福島県,女,45歳～49歳,-23,59844,-0.0384
福島県,女,50歳～54歳,-19,55647,-0.0341
福島県,女,55歳～59歳,1,59410,0.0017
福島県,女,60歳～64歳,3,65283,0.0046
福島県,女,65歳～69歳,-26,73120,-0.0356
福島県,女,70歳～74歳,8,69280,0.0115
福島県,女,75歳～79歳,-44,54219,-0.0812
福島県,女,80歳～84歳,-64,50005,-0.128
福島県,女,85歳～89歳,-36,42679,-0.0844
福島県,女,90歳以上,-60,33108,-0.1812
茨城県,総数,0歳～4歳,614,96291,0.6377
茨城県,総数,5歳～9歳,286,113607,0.2517
茨城県,総数,10歳～14歳,51,123843,0.0412
茨城県,総数,15歳～19歳,-1444,131147,-1.1011
茨城県,総数,20歳～24歳,-4909,126056,-3.8943
茨城県,総数,25歳～29歳,-1882,126797,-1.4843
茨城県,総数,30歳～34歳,-380,142082,-0.2675
茨城県,総数,35歳～39歳,-201,163540,-0.1229
茨城県,総数,40歳～44歳,157,186596,0.0841
茨城県,総数,45歳～49歳,191,218014,0.0876
茨城県,総数,50歳～54歳,202,190169,0.1062
茨城県,総数,55歳～59歳,132,175479,0.0752
茨城県,総数,60歳～64歳,230,178285,0.129
茨城県,総数,65歳～69歳,260,207763,0.1251
茨城県,総数,70歳～74歳,169,217489,0.0777
茨城県,総数,75歳～79歳,181,164977,0.1097
茨城県,総数,80歳～84歳,104,119281,0.0872
茨城県,総数,85歳～89歳,169,78424,0.2155
茨城県,総数,90歳以上,110,51973,0.2116
茨城県,男,0歳～4歳,344,49240,0.6986
茨城県,男,5歳～9歳,171,58292,0.2934
茨城県,男,10歳～14歳,21,63604,0.033
茨城県,男,15歳～19歳,-759,67778,-1.1198
茨城県,男,20歳～24歳,-2424,67287,-3.6025
茨城県,男,25歳～29歳,-1226,68838,-1.781
茨城県,男,30歳～34歳,-388,75539,-0.5136
茨城県,男,35歳～39歳,-190,85129,-0.2232
茨城県,男,40歳～44歳,66,97008,0.068
茨城県,男,45歳～49歳,163,113423,0.1437
茨城県,男,50歳～54歳,183,98227,0.1863
茨城県,男,55歳～59歳,101,88692,0.1139
茨城県,男,60歳～64歳,107,88986,0.1202
茨城県,男,65歳～69歳,184,102027,0.1803
茨城県,男,70歳～74歳,125,104904,0.1192
茨城県,男,75歳～79歳,146,77840,0.1876
茨城県,男,80歳～84歳,52,52637,0.0988
茨城県,男,85歳～89歳,48,28636,0.1676
茨城県,男,90歳以上,18,13258,0.1358
茨城県,女,0歳～4歳,270,47051,0.5738
茨城県,女,5歳～9歳,115,55315,0.2079
茨城県,女,10歳～14歳,30,60239,0.0498
茨城県,女,15歳～19歳,-685,63369,-1.081
茨城県,女,20歳～24歳,-2485,58769,-4.2284
茨城県,女,25歳～29歳,-656,57959,-1.1318
茨城県,女,30歳～34歳,8,66543,0.012
茨城県,女,35歳～39歳,-11,78411,-0.014
茨城県,女,40歳～44歳,91,89588,0.1016
茨城県,女,45歳～49歳,28,104591,0.0268
茨城県,女,50歳～54歳,19,91942,0.0207
茨城県,女,55歳～59歳,31,86787,0.0357
茨城県,女,60歳～64歳,123,89299,0.1377
茨城県,女,65歳～69歳,76,105736,0.0719
茨城県,女,70歳～74歳,44,112585,0.0391
茨城県,女,75歳～79歳,35,87137,0.0402
茨城県,女,80歳～84歳,52,66644,0.078
茨城県,女,85歳～89歳,121,49788,0.243
茨城県,女,90歳以上,92,38715,0.2376
栃木県,総数,0歳～4歳,114,66024,0.1727
栃木県,総数,5歳～9歳,-64,77301,-0.0828
栃木県,総数,10歳～14歳,-85,84228,-0.1009
栃木県,総数,15歳～19歳,-566,87604,-0.6461
栃木県,総数,20歳～24歳,-1524,81438,-1.8714
栃木県,総数,25歳～29歳,-534,87377,-0.6111
栃木県,総数,30歳～34歳,-182,98988,-0.1839
栃木県,総数,35歳～39歳,-83,113591,-0.0731
栃木県,総数,40歳～44歳,10,129722,0.0077
栃木県,総数,45歳～49歳,84,147820,0.0568
栃木県,総数,50歳～54歳,114,127053,0.0897
栃木県,総数,55歳～59歳,115,118693,0.0969
栃木県,総数,60歳～64歳,125,123325,0.1014
栃木県,総数,65歳～69歳,72,141154,0.051
