種別,都道府県,年次,性別,年齢階級,人数
転入者数,秋田県,2025年,総数,25歳～29歳,1643
転入者数,秋田県,2025年,総数,30歳～34歳,1052
転入者数,秋田県,2025年,総数,35歳～39歳,753
転入者数,秋田県,2025年,総数,40歳～44歳,565
転入者数,秋田県,2025年,総数,45歳～49歳,501
転入者数,秋田県,2025年,総数,50歳～54歳,497
転入者数,秋田県,2025年,総数,55歳～59歳,422
転入者数,秋田県,2025年,総数,60歳～64歳,323
転入者数,秋田県,2025年,総数,65歳～69歳,210
転入者数,秋田県,2025年,総数,70歳～74歳,140
転入者数,秋田県,2025年,総数,75歳～79歳,116
転入者数,秋田県,2025年,総数,80歳～84歳,61
転入者数,秋田県,2025年,総数,85歳～89歳,42
転入者数,秋田県,2025年,総数,90歳以上,33
転入者数,秋田県,2025年,男,総数,5766
転入者数,秋田県,2025年,男,0歳～4歳,181
転入者数,秋田県,2025年,男,5歳～9歳,103
転入者数,秋田県,2025年,男,10歳～14歳,49
転入者数,秋田県,2025年,男,15歳～19歳,403
転入者数,秋田県,2025年,男,20歳～24歳,1224
転入者数,秋田県,2025年,男,25歳～29歳,930
転入者数,秋田県,2025年,男,30歳～34歳,621
転入者数,秋田県,2025年,男,35歳～39歳,455
転入者数,秋田県,2025年,男,40歳～44歳,353
転入者数,秋田県,2025年,男,45歳～49歳,320
転入者数,秋田県,2025年,男,50歳～54歳,328
転入者数,秋田県,2025年,男,55歳～59歳,277
転入者数,秋田県,2025年,男,60歳～64歳,211
転入者数,秋田県,2025年,男,65歳～69歳,129
転入者数,秋田県,2025年,男,70歳～74歳,88
転入者数,秋田県,2025年,男,75歳～79歳,55
転入者数,秋田県,2025年,男,80歳～84歳,26
転入者数,秋田県,2025年,男,85歳～89歳,8
転入者数,秋田県,2025年,男,90歳以上,5
転入者数,秋田県,2025年,女,総数,4083
転入者数,秋田県,2025年,女,0歳～4歳,200
転入者数,秋田県,2025年,女,5歳～9歳,105
転入者数,秋田県,2025年,女,10歳～14歳,59
転入者数,秋田県,2025年,女,15歳～19歳,257
転入者数,秋田県,2025年,女,20歳～24歳,910
転入者数,秋田県,2025年,女,25歳～29歳,713
転入者数,秋田県,2025年,女,30歳～34歳,431
転入者数,秋田県,2025年,女,35歳～39歳,298
転入者数,秋田県,2025年,女,40歳～44歳,212
転入者数,秋田県,2025年,女,45歳～49歳,181
転入者数,秋田県,2025年,女,50歳～54歳,169
